Build ID,Time (UTC),Platform,Build Status,Session ID,Test Name,Test Status,Duration (s),Video URL,Maestro Log URL,Description
08962b233426853b6547ab9d3d8dcb52c79cac38,2026-04-26 05:05:50 UTC,ios,failed,bebd56f1f0c1425a78579c1f0bf4d8505184ff9c,home-smoke,passed,29.34,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c77ad6ac2/video#t=0,29,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c77ad6ac2/maestrologs,"iOS — waitForAnimation lend-flow"
08962b233426853b6547ab9d3d8dcb52c79cac38,2026-04-26 05:05:50 UTC,ios,failed,bebd56f1f0c1425a78579c1f0bf4d8505184ff9c,lend-flow,failed,27.743,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c34ad46fb/video#t=30,58,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c34ad46fb/maestrologs,"iOS — waitForAnimation lend-flow"
08962b233426853b6547ab9d3d8dcb52c79cac38,2026-04-26 05:05:50 UTC,ios,failed,bebd56f1f0c1425a78579c1f0bf4d8505184ff9c,login,passed,15.931,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c60c99842/video#t=58,74,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c60c99842/maestrologs,"iOS — waitForAnimation lend-flow"
08962b233426853b6547ab9d3d8dcb52c79cac38,2026-04-26 05:05:50 UTC,ios,failed,bebd56f1f0c1425a78579c1f0bf4d8505184ff9c,auth-flow,passed,15.871,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c99f2f61f/video#t=75,91,https://api.browserstack.com/app-automate/maestro/builds/08962b233426853b6547ab9d3d8dcb52c79cac38/sessions/tests/bebd56f1f0c1425a78579c1f0bf4d8505184ff9c99f2f61f/maestrologs,"iOS — waitForAnimation lend-flow"
87ba20244686c29bfec1cf7c2f3c505093aac226,2026-04-26 05:00:09 UTC,android,passed,e0370fa6022a0676d790a6cff6a141afb5ae385a,auth-flow,passed,25,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385a895ce6d1/video#t=5,41,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385a895ce6d1/maestrologs,"Android FINAL — v2 build + coord taps"
87ba20244686c29bfec1cf7c2f3c505093aac226,2026-04-26 05:00:09 UTC,android,passed,e0370fa6022a0676d790a6cff6a141afb5ae385a,login,passed,24,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385a0ea9ac1e/video#t=53,88,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385a0ea9ac1e/maestrologs,"Android FINAL — v2 build + coord taps"
87ba20244686c29bfec1cf7c2f3c505093aac226,2026-04-26 05:00:09 UTC,android,passed,e0370fa6022a0676d790a6cff6a141afb5ae385a,lend-flow,passed,69,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385ab3ae6ca1/video#t=100,181,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385ab3ae6ca1/maestrologs,"Android FINAL — v2 build + coord taps"
87ba20244686c29bfec1cf7c2f3c505093aac226,2026-04-26 05:00:09 UTC,android,passed,e0370fa6022a0676d790a6cff6a141afb5ae385a,home-smoke,passed,32,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385ab8668b46/video#t=193,236,https://api.browserstack.com/app-automate/maestro/builds/87ba20244686c29bfec1cf7c2f3c505093aac226/sessions/tests/e0370fa6022a0676d790a6cff6a141afb5ae385ab8668b46/maestrologs,"Android FINAL — v2 build + coord taps"
e77f3b93ced04bdc6c184b6c741537b053e609e3,2026-04-26 05:00:09 UTC,ios,failed,8051b06218c1a354e2ae00ebc27671effdb137ad,home-smoke,passed,28.632,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad77ad6ac2/video#t=0,29,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad77ad6ac2/maestrologs,"iOS FINAL — v2 build + coord taps"
e77f3b93ced04bdc6c184b6c741537b053e609e3,2026-04-26 05:00:09 UTC,ios,failed,8051b06218c1a354e2ae00ebc27671effdb137ad,lend-flow,failed,27.504,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad34ad46fb/video#t=29,57,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad34ad46fb/maestrologs,"iOS FINAL — v2 build + coord taps"
